Thời tiết,Nhiệt độ,Độ ẩm,Gió,Áp suất, PM2.5 , PM10 , O3 , NO2 , SO2 , CO 
Trời quang,21°C,23%,8.7 km/h,1015 mbar,93.1,289,43,75.1,12,1100
Trời quang,22°C,24%,9.4 km/h,1015 mbar,242.2,449,30,57.1,8.4,840
Nhiều mây,0°C,28%,4.5 km/h,1027 mbar,147,493,51,31,19,1450
Sương mù,22°C,53%,7.4 km/h,1017 mbar,206,346,52,38.4,10,900
Trời quang,24°C,31%,6.6 km/h,1014 mbar,95.3*,,,,,
Trời quang,24°C,24%,7.8 km/h,1017 mbar,62.2*,,,,,
Trời quang,22°C,22%,9.1 km/h,1015 mbar,145.8,293,78.6,93.5,14.4,1285
Nhiều mây,25°C,20%,13.3 km/h,1016 mbar,87,,,,,
Sương mù,17°C,42%,7.4 km/h,1020 mbar,173,,,,,
Trời quang,25°C,22%,8.5 km/h,1015 mbar,74.5,,6,,,
Trời quang,22°C,22%,9.1 km/h,1015 mbar,173.1,270,28,24.8,9.2,2295
Trời quang,22°C,23%,9.7 km/h,1015 mbar,221,407.7,,,11.2,
Trời quang,25°C,23%,8 km/h,1015 mbar,173.1,,,,7.2,
Sương mù,21°C,46%,9.3 km/h,1017 mbar,99.3,,,,,
Sương mù,24°C,69%,0 km/h,1015 mbar,105.8,177.8,102.4,12.8,10.4,600
Ít mây,25°C,25%,11.1 km/h,1015 mbar,100.7,,16,37.6,4.8,
Sương mù,22°C,53%,7.4 km/h,1017 mbar,101.6,194.3,29,26.4,12.8,1670
Nhiều mây,0°C,26%,2.5 km/h,1027 mbar,175,574,52,32,10,1050
Trời quang,25°C,27%,5 km/h,1014 mbar,73.9,193.6,20,51.4,27.2,980
Trời quang,25°C,31%,7.8 km/h,1013 mbar,173.7,314,83.7,8.8,11.2,1350
Sương mù,25°C,50%,5.5 km/h,1015 mbar,59.4,124.6,41.1,32.8,27.2,1300
Mây rải rác,25°C,23%,9.3 km/h,1016 mbar,66.2*,,,,,
Trời quang,25°C,25%,10.2 km/h,1015 mbar,71.8,168.7,,,,
Ít mây,25°C,26%,11.2 km/h,1015 mbar,132.4,204.8,,124,18.4,1270
Trời quang,24°C,27%,4 km/h,1014 mbar,68.2*,,,,,
Trời quang,23°C,26%,8.9 km/h,1013 mbar,184.9,,129.4,83,12,1300
Sương mù,27°C,57%,0 km/h,1012 mbar,53.2,,,,,
Trời quang,22°C,13%,14.9 km/h,1014 mbar,83,,,,,
Trời quang,21°C,23%,8.5 km/h,1015 mbar,103.3,173.2,,,,640
Sương mù,25°C,47%,7.4 km/h,1014 mbar,73.5,211.2,36.4,23.2,39.6,970
Nhiều mây,-17°C,94%,19.7 km/h,1046 mbar,95.3,95.2,,22.5,15.6,
Trời quang,24°C,27%,11.1 km/h,1014 mbar,86.3*,,,,,
Nhiều mây,27°C,36%,7.1 km/h,1011 mbar,47.2,,,,,
Trời quang,25°C,23%,7.9 km/h,1015 mbar,130.1,,,,5.6,
Trời quang,25°C,25%,6.6 km/h,1015 mbar,83,126.6,24,29.6,15.2,860
Ít mây,25°C,25%,10.5 km/h,1015 mbar,145.8,235,,,,
Nhiều mây,-12°C,73%,17.6 km/h,1039 mbar,0.6,1,,,,
Nhiều mây,23°C,49%,11.1 km/h,987 mbar,111.2,210.9,,,9.6,
Nhiều mây,21°C,25%,10.7 km/h,1015 mbar,135.3,378.9,,,,
Nhiều mây,-11°C,70%,19.9 km/h,1038 mbar,45.1,45.2,,6.2,,
Trời quang,27°C,19%,13.2 km/h,1014 mbar,105.1,,,,9.6,
Trời quang,-21°C,77%,7.2 km/h,1038 mbar,0.2,0.2,,,,
Trời quang,24°C,26%,10.3 km/h,1014 mbar,149.7,,,,13.6,
Trời quang,29°C,21%,13 km/h,1011 mbar,86.5,,,,,
Nhiều mây,4°C,50%,1.3 km/h,1026 mbar,67.7,,0,40.4,7,
Nhiều mây,25°C,24%,12.3 km/h,1015 mbar,94.8,140.1,10,12.8,4.8,
Ít mây,25°C,21%,9.2 km/h,1015 mbar,77.7,,,,6.4,
Trời quang,25°C,24%,8.5 km/h,1014 mbar,83.3*,,,,,
Sương mù,-4°C,100%,3.6 km/h,1032 mbar,78.5,98.5,,,,
Trời quang,25°C,22%,6 km/h,1015 mbar,94.8,,6,,6.4,
Nhiều mây,24°C,22%,11.3 km/h,1012 mbar,160.1,,,,14.9,
Sương mù,1°C,87%,3.6 km/h,1029 mbar,30,,,,,
Sương mù,25°C,53%,14.8 km/h,1013 mbar,108.4,176.3,87.8,32.4,14.4,640
Trời quang,1°C,69%,28.8 km/h,1034 mbar,57.9,98.9,,,,
Nhiều mây,24°C,28%,8.8 km/h,1016 mbar,97.7,,21,,3.2,
Mây rải rác,25°C,26%,11.6 km/h,1015 mbar,85,147.7,,,,
Sương mù,23°C,60%,5.5 km/h,1014 mbar,191.4,273,37,13.6,14,
Sương mù,26°C,53%,13 km/h,1012 mbar,92.7,191.1,95,34.9,22.6,0
Nhiều mây,25°C,26%,12 km/h,1015 mbar,221.3,,5,9.6,14.4,
Nhiều mây,25°C,20%,8.5 km/h,1016 mbar,75.4,,,,24,
Trời quang,24°C,27%,11.6 km/h,1015 mbar,81.2,,,,,
Sương mù,23°C,41%,5.5 km/h,1018 mbar,39,112.3,,,16.8,730
Sương mù,30°C,27%,9.3 km/h,1010 mbar,60.2*,,,,,
Trời quang,27°C,18%,7.8 km/h,1014 mbar,45.2,89,,14.4,23.2,
Tuyết,-6°C,91%,15.9 km/h,1043 mbar,16,30,60,12,4,400
Nhiều mây,4°C,12%,9.4 km/h,1029 mbar,10,33.5,69,13,8,400
Sương mù,27°C,39%,22.2 km/h,1013 mbar,57.6,129.3,44.9,64.7,4,0
Sương mù,19°C,73%,3.7 km/h,1018 mbar,86.2,120.6,50,66.9,34.4,680
Nhiều mây,25°C,26%,12.6 km/h,1015 mbar,86.5,177.8,,,11.2,
Trời quang,25°C,23%,8.2 km/h,1015 mbar,135.3,153.7,,,8.8,
Sương mù,25°C,65%,0 km/h,1012 mbar,70.1,99,32,2.4,12.8,300
Ít mây,5°C,15%,27.8 km/h,1029 mbar,5,34,77,12,6,200
Trời quang,29°C,51%,4.3 km/h,1008 mbar,12,,,,,
Trời quang,24°C,29%,9.3 km/h,1015 mbar,201.8,,,,,
Trời quang,26°C,79%,7 km/h,1012 mbar,39,,,,,
Trời quang,6°C,16%,21.7 km/h,1028 mbar,8,38,71,19,5.5,350
Ít mây,19°C,54%,10.7 km/h,1018 mbar,158.5,,,,,
Trời quang,0°C,36%,4.3 km/h,1029 mbar,123,304.5,48,28,5.5,1400
Ít mây,19°C,45%,3.7 km/h,1019 mbar,44,,,,,
Trời quang,6°C,15%,21.8 km/h,1029 mbar,10.5,39,73,13,6,300
Trời quang,12°C,26%,27.2 km/h,1025 mbar,127,174,77,31,12.5,1250
Trời quang,21°C,60%,25.9 km/h,1018 mbar,20.1*,,,,,
Tuyết,-7°C,93%,15.6 km/h,1042 mbar,32.5,43,54.5,32.5,12.5,900
Nhiều mây,-7°C,65%,27.1 km/h,1027 mbar,14,,,60,50,40
Mây rải rác,8°C,24%,27.5 km/h,1027 mbar,129,176,70,23,6,900
Nhiều mây,23°C,27%,12.6 km/h,1015 mbar,84.1,162.7,32,,,
Trời quang,13°C,77%,20.4 km/h,1021 mbar,95.5,,,,,
Nhiều mây,0°C,34%,3.6 km/h,1033 mbar,77,193.5,63,32.5,9,1500
Nhiều mây,2°C,40%,31 km/h,1026 mbar,17,80,59,24,5,550
Mây rải rác,6°C,14%,28.3 km/h,1028 mbar,35,84,69.5,18,1,450
Trời quang,5°C,13%,26 km/h,1030 mbar,22.5,93,67,17,14,500
Nhiều mây,25°C,24%,11.6 km/h,1015 mbar,70.7,,,,7.2,
Trời quang,-10°C,66%,5.9 km/h,1041 mbar,32.3,,,,,
Nhiều mây,5°C,23%,29.5 km/h,1027 mbar,17,65.5,66,17,11,400
Sương mù,24°C,36%,5.5 km/h,1016 mbar,70.7,,,13.6,16,
Nhiều mây,7°C,15%,24.2 km/h,1028 mbar,30,96,69.5,6,4,500
Nhiều mây,9°C,32%,26.6 km/h,1025 mbar,144,205,60,39,10,1350
Trời quang,11°C,78%,7.7 km/h,1016 mbar,3,,,,,
Nhiều mây,4°C,18%,24.2 km/h,1029 mbar,5,47,77,12,6,400
Trời quang,22°C,29%,10.7 km/h,1016 mbar,51,,,,,
Nhiều mây,27°C,35%,8.9 km/h,1011 mbar,96,,,,,
Mây rải rác,7°C,17%,15.8 km/h,1028 mbar,14,59.5,61.5,20,7,400
Ít mây,9°C,21%,6.6 km/h,1027 mbar,46,118,53,23,8,1000
Ít mây,10°C,23%,31.6 km/h,1026 mbar,92,173,60,32,11,950
Trời quang,8°C,24%,22.5 km/h,1027 mbar,98.5,175.5,62,30,6.5,1100
Sương mù,24°C,65%,0 km/h,1012 mbar,89.7,150.7,17,1.6,20,660
Trời quang,30°C,37%,5.1 km/h,1009 mbar,5,,,,,
Trời quang,14°C,41%,22.1 km/h,1022 mbar,72.5,90.5,103,29,7.5,700
Sương mù,23°C,49%,0 km/h,1015 mbar,194,286.3,92.9,16,9.6,2420
Nhiều mây,10°C,97%,7.5 km/h,1007 mbar,89.4,91.7,2.2,19.5,5.6,
Mây rải rác,5°C,13%,15.9 km/h,1030 mbar,4,18,78,11,5,300
Sương mù,30°C,27%,9.3 km/h,1010 mbar,66.6,179.3,26,66.1,24,1335
Nhiều mây,0°C,17%,11.7 km/h,1031 mbar,9,26,69,19,6,400
Mây rải rác,27°C,40%,10.2 km/h,1011 mbar,64.2*,,,,,
Nhiều mây,12°C,92%,7.3 km/h,1003 mbar,5.1*,,,,,
Nhiều mây,0°C,16%,11.2 km/h,1030 mbar,10.5,21,81,16.5,7.5,400
Sương mù,28°C,24%,20.4 km/h,1014 mbar,110.5,,,,,
Nhiều mây,7°C,19%,28.4 km/h,1027 mbar,79.5,132.5,66,20,,600
Trời quang,10°C,21%,14.8 km/h,1028 mbar,26,158,70,20,7,350
Nhiều mây,5°C,14%,17.4 km/h,1029 mbar,5,42,69,18,6,300
Trời quang,14°C,43%,24.2 km/h,1022 mbar,97,86,29,8,3,
Trời quang,14°C,29%,30.4 km/h,1023 mbar,84,134,113,17,14,800
Nhiều mây,27°C,27%,10.8 km/h,1012 mbar,92.3*,,,,,
Sương mù,25°C,36%,5.5 km/h,1016 mbar,33.4,,,,22.4,
Trời quang,4°C,16%,9.4 km/h,1030 mbar,5,12.5,78,13,6,200
Sương mù,-9°C,86%,7.2 km/h,1037 mbar,26.5,50,47,27.5,6,600
Trời quang,2°C,21%,12.7 km/h,1028 mbar,4,11.5,71,4,8.5,250
Trời quang,7°C,20%,13.2 km/h,1029 mbar,31.5,104.5,78.5,16,8,551
Nhiều mây,8°C,21%,24.7 km/h,1028 mbar,107.5,158,63,21.5,8,900
Sương mù,-10°C,79%,7.2 km/h,1040 mbar,4.2,5,,0.6,41.5,15.7
Nhiều mây,9°C,22%,7.6 km/h,1027 mbar,84,152.5,55,37.5,12.5,900
Nhiều mây,-1°C,20%,14.6 km/h,1032 mbar,3,34,71,14,6,300
Nhiều mây,25°C,23%,8.8 km/h,1016 mbar,31.5,39.2,,14.9,5.4,865
Trời quang,4°C,13%,12.1 km/h,1030 mbar,4,10,76,16,5,300
Nhiều mây,8°C,26%,26.8 km/h,1027 mbar,128,172,65.5,27,6,900
Nhiều mây,6°C,29%,25.9 km/h,1025 mbar,84,149,71.5,41.5,15,900
Nhiều mây,9°C,53%,23 km/h,1025 mbar,221,314,80.5,34.5,10.5,1700
Nhiều mây,7°C,33%,24.4 km/h,1024 mbar,89,132,79,30,10.5,1050
Trời quang,25°C,21%,15.6 km/h,1013 mbar,69.5,,,,,
Nhiều mây,15°C,45%,5.7 km/h,1020 mbar,138.5,170,25.5,48.5,8.5,800
Sương mù,25°C,78%,14.8 km/h,1010 mbar,57,,,,25.6,
Nhiều mây,7°C,46%,7.3 km/h,1025 mbar,22.1*,,,,,
Nhiều mây,6°C,15%,18 km/h,1029 mbar,4.5,50,71,15.5,7.5,300
Trời quang,3°C,16%,22.1 km/h,1029 mbar,4,36,77,15,6.5,350
Nhiều mây,3°C,26%,24.8 km/h,1028 mbar,17,68,61.5,19,6.5,500
Trời quang,23°C,31%,26.6 km/h,1015 mbar,17.1*,,,,,
Nhiều mây,6°C,16%,18.6 km/h,1029 mbar,4,42,72,16.5,8,300
Mây rải rác,0°C,28%,4.1 km/h,1027 mbar,136.5,436.5,61.5,10,13,900
Trời quang,25°C,23%,12.2 km/h,1015 mbar,64.2,86,40,21.6,20,
Nhiều mây,25°C,23%,14.5 km/h,1014 mbar,58.9,132.1,67.9,30.4,32.1,720
Trời quang,-7°C,68%,3.6 km/h,1035 mbar,54.2,69.9,,,,
Nhiều mây,7°C,24%,12.6 km/h,1028 mbar,53.5,107.5,56,26,7,750
Nhiều mây,14°C,49%,3.9 km/h,1020 mbar,86,102,26,36,12,800
Trời quang,4°C,60%,4.5 km/h,1027 mbar,21,91,50,20,6,0.4
Ít mây,4°C,15%,26.5 km/h,1029 mbar,4,39,75,16,5,200
Trời quang,4°C,32%,24.2 km/h,1028 mbar,14,75,59,24,7,300
Trời quang,2°C,20%,27.1 km/h,1030 mbar,3,12,63,8,6,300
Trời quang,15°C,44%,20 km/h,1020 mbar,64,85,85,33,10,600
Trời quang,2°C,20%,27.5 km/h,1029 mbar,2,9,75,3,6,200
Ít mây,28°C,35%,7 km/h,1012 mbar,124.9,135.6,,,,
Nhiều mây,8°C,35%,24.1 km/h,1027 mbar,112,209,76,29,7,900
Trời quang,25°C,21%,18.4 km/h,1013 mbar,47.6,,,,,
Trời quang,25°C,23%,6.5 km/h,1014 mbar,70,137.1,48,44.9,12.8,
Sương mù,10°C,100%,7.4 km/h,1001 mbar,51.2,,,,,
Nhiều mây,6°C,31%,25.1 km/h,1026 mbar,70.5,126.5,,,,900
Sương mù,-4°C,80%,7.4 km/h,1034 mbar,67.5,75.4,16.3,,3.9,970.8
Trời quang,3°C,25%,11.8 km/h,1028 mbar,23,78,66,14,10,400
Trời quang,4°C,14%,16.8 km/h,1030 mbar,4,21,76,19,4,200
Trời quang,3°C,17%,14 km/h,1030 mbar,5,18,72.5,16.5,7.5,200
Trời quang,4°C,50%,22.8 km/h,1028 mbar,13,63,67,21,11,600
Sương mù,25°C,33%,5.5 km/h,1014 mbar,71.8,,,,,
Sương mù,24°C,41%,7.4 km/h,1014 mbar,87.7,,,,9.6,
Nhiều mây,5°C,24%,27.9 km/h,1027 mbar,31.5,123,61,17,10,600
Mây rải rác,4°C,25%,22.7 km/h,1028 mbar,17.5,56,69.5,16,9,400
Trời quang,27°C,33%,10.4 km/h,1011 mbar,53.8,,,,,
Trời quang,15°C,48%,16.6 km/h,1020 mbar,51.5,60,97,22,6,650
Mưa,10°C,98%,5.1 km/h,1000 mbar,53.1,,,,,
Nhiều mây,9°C,35%,28.9 km/h,1025 mbar,168,261,68,28,8,1100
Nhiều mây,10°C,60%,22.2 km/h,1024 mbar,143,188,80,25.5,7,800
Nhiều mây,27°C,20%,8.4 km/h,1010 mbar,66.9,100.5,75,27.2,,1508.3
Nhiều mây,24°C,46%,6.8 km/h,1015 mbar,12.1*,,,,,
Trời quang,2°C,21%,20.3 km/h,1030 mbar,4,26.5,72,16,9,200
Mây rải rác,-1°C,40%,9 km/h,1030 mbar,47.5,188,45,34,16.5,600
Nhiều mây,9°C,51%,25.2 km/h,1024 mbar,185.5,236.5,66.5,39.5,5,1450
Mây rải rác,3°C,22%,18.9 km/h,1029 mbar,7,54,65,17.5,6,300
Nhiều mây,4°C,14%,22.1 km/h,1029 mbar,6.5,34.5,68,21,4.5,300
Tuyết,-6°C,92%,7.9 km/h,1042 mbar,37,46,70,10,5.5,500
Trời quang,-1°C,31%,14.9 km/h,1028 mbar,7,27,72.5,7,6,450
Sương mù,5°C,61%,3.7 km/h,1023 mbar,19.1*,,,,,
Trời quang,4°C,43%,18.3 km/h,1028 mbar,17,70,62,14,9,500
Nhiều mây,17°C,68%,7 km/h,1004 mbar,,,11.6,,,
Nhiều mây,13°C,82%,9.6 km/h,1004 mbar,40,,,,,
Nhiều mây,6°C,15%,28.2 km/h,1028 mbar,47,100,71,21,7,
Trời quang,6°C,21%,13 km/h,1029 mbar,18.5,86,70,20,9,459
Nhiều mây,5°C,16%,28.8 km/h,1028 mbar,41,97,59.5,17,9,500
Ít mây,19°C,55%,10.3 km/h,1017 mbar,55,,,,,
Trời quang,7°C,19%,16.5 km/h,1028 mbar,26,98,,,11,
Nhiều mây,16°C,77%,4.4 km/h,1015 mbar,40.2,48.8,,1.1,2.9,
Nhiều mây,27°C,16%,16.1 km/h,1011 mbar,33.2*,,,,,
Trời quang,14°C,41%,23.9 km/h,1022 mbar,76,69.5,5.5,33.5,3,9500
Nhiều mây,0°C,88%,5.1 km/h,1007 mbar,11.1*,,,,,
Tuyết,0°C,92%,3.6 km/h,1005 mbar,18,24,1,,,
Nhiều mây,-3°C,99%,6.3 km/h,1011 mbar,6.1,7,,,,
Nhiều mây,-2°C,84%,0 km/h,1009 mbar,21,26,,,,
Trời quang,15°C,42%,2.5 km/h,1014 mbar,8,14,,15,,
Trời quang,14°C,67%,8.1 km/h,1015 mbar,13,11.5,,20.7,2.6,343.5
Nhiều mây,11°C,72%,4.7 km/h,1016 mbar,14,19,,,2.6,
Trời quang,14°C,54%,1.6 km/h,1014 mbar,14,10,,9.4,2.6,
Trời quang,14°C,54%,1.6 km/h,1014 mbar,12.5,,,18.8,,
Trời quang,16°C,49%,2.2 km/h,1014 mbar,12,13,,9.4,2.6,
Trời quang,15°C,49%,2.7 km/h,1015 mbar,8.5,,,5.6,3.9,
Trời quang,16°C,49%,1.7 km/h,1015 mbar,12,12.5,,20.7,,343.5
Trời quang,14°C,53%,3.5 km/h,1015 mbar,16,,,,,
Trời quang,15°C,47%,3.6 km/h,1015 mbar,11,14,,,7.9,
Trời quang,11°C,76%,2.7 km/h,1015 mbar,9,,,,,
Trời quang,14°C,30%,4.8 km/h,1010 mbar,15,6,,22.6,,
Trời quang,13°C,59%,5.2 km/h,1015 mbar,14,19,,7.5,,
Sương mù,-1°C,94%,9.3 km/h,1008 mbar,26,28.8,30.3,17.4,,
Nhiều mây,-1°C,92%,11.9 km/h,1009 mbar,21.3,20,,,,
Sương mù,7°C,96%,7.4 km/h,1007 mbar,5,7,38,12,1,
Trời quang,-2°C,39%,0 km/h,1019 mbar,1.5,,,,,
Nhiều mây,7°C,81%,2.5 km/h,1019 mbar,6.2,,,,,
Trời quang,10°C,90%,0 km/h,1020 mbar,5.8,,,,,
Nhiều mây,10°C,76%,20.4 km/h,1014 mbar,5.1,,,,,
Nhiều mây,10°C,80%,7.4 km/h,1015 mbar,14,,,,,
Mây rải rác,0°C,89%,8.1 km/h,1022 mbar,10.7,,,,,
