Thời tiết,Nhiệt độ,Độ ẩm,Gió,Áp suất, PM2.5 , PM10 , O3 , NO2 , SO2 , CO 
Ít mây,5°C,51%,16.7 km/h,1021 mbar,49,24,2,0,0,0
Trời quang,-4°C,77%,0 km/h,1029 mbar,3.8,,,,,
Trời quang,0°C,83%,8.1 km/h,1019 mbar,3.1,,,,,
Mưa,4°C,91%,6.4 km/h,993 mbar,1.2,,,,,
Trời quang,19°C,59%,14.3 km/h,1016 mbar,0.8,,,,,
Trời quang,19°C,55%,11.9 km/h,1015 mbar,0.5,,,,,
Mưa,28°C,70%,14.8 km/h,1010 mbar,2.2,6.1,,,,
Nhiều mây,19°C,62%,21.8 km/h,1011 mbar,0.3,,,,,
Nhiều mây,22°C,40%,20.4 km/h,1010 mbar,3.5,,,,,
Trời quang,23°C,88%,11.1 km/h,1009 mbar,4.6,,,,,
Nhiều mây,-17°C,97%,2 km/h,1014 mbar,10.8,,,,2.6,
Tuyết,1°C,95%,23.8 km/h,992 mbar,0.1,,,,,
Mưa,5°C,86%,69.2 km/h,990 mbar,1.7,,,,,
Nhiều mây,-6°C,83%,19.3 km/h,1012 mbar,3.1*,,,,,
Trời quang,-14°C,76%,25.5 km/h,1034 mbar,1.1*,,,,,
Trời quang,-7°C,63%,18.5 km/h,1022 mbar,4.6,,,,,
Nhiều mây,2°C,94%,6.4 km/h,1011 mbar,0,,,,,
Nhiều mây,4°C,96%,4.5 km/h,1012 mbar,4.5,13,,1,1,
Nhiều mây,13°C,70%,7.2 km/h,1005 mbar,2,2,41,6,3.5,0.1
Sương mù,-1°C,98%,7.4 km/h,1010 mbar,12.2,14.3,,,,
Nhiều mây,1°C,96%,13 km/h,1006 mbar,2.6,7,67.9,31.2,,
Mây rải rác,-2°C,87%,5.5 km/h,1006 mbar,3.8,,,,,
Mây rải rác,0°C,74%,6.5 km/h,1018 mbar,1.1,3,,,,
Nhiều mây,0°C,86%,4.8 km/h,1005 mbar,0.6,,,,,
Trời quang,2°C,63%,0 km/h,1021 mbar,7,,,,,
Mưa,3°C,92%,18.5 km/h,994 mbar,0.5,,,,,
Mưa,4°C,90%,16.7 km/h,995 mbar,0.1,,,,,
Mây rải rác,22°C,69%,18.5 km/h,1015 mbar,5.1*,,,,,
Nhiều mây,15°C,75%,10.2 km/h,1013 mbar,1,1,,,,
Mây rải rác,19°C,58%,18.5 km/h,1009 mbar,1,,,,,
Mây rải rác,22°C,47%,13.4 km/h,1010 mbar,3.1,,,,,
Nhiều mây,-5°C,65%,15.2 km/h,1031 mbar,1.1,,,,,
Nhiều mây,1°C,81%,6.4 km/h,1016 mbar,6.3,12.7,,2.6,0.1,0.2
Nhiều mây,-1°C,60%,20.1 km/h,1028 mbar,4.1*,,,,,
Mây rải rác,-3°C,84%,20.5 km/h,1030 mbar,3,,,,,
Nhiều mây,-5°C,92%,14.8 km/h,1010 mbar,4.7,5.9,51.9,8.7,1.1,230
Tuyết,0°C,85%,25.9 km/h,1008 mbar,3,5.1,,9.1,,
Nhiều mây,0°C,93%,4.9 km/h,1007 mbar,10,15,,,,
Nhiều mây,0°C,92%,15.8 km/h,1008 mbar,12.7,13.8,,,,
Mây rải rác,2°C,95%,1.6 km/h,1018 mbar,8,,,,,
Trời quang,18°C,81%,1.6 km/h,1015 mbar,1,,,,,
Trời quang,11°C,62%,7.4 km/h,1015 mbar,3.8,,,,,
Nhiều mây,19°C,67%,4.8 km/h,1014 mbar,4.9,,,,,
Trời quang,-5°C,75%,3.7 km/h,1011 mbar,7,8,,35.9,,
Nhiều mây,-9°C,94%,5.5 km/h,1018 mbar,3.8,3.7,,6.1,,
Nhiều mây,0°C,99%,11.1 km/h,1003 mbar,3,5,30,30,,
Trời quang,6°C,63%,0 km/h,1019 mbar,0.3,,,,,
Trời quang,6°C,63%,0 km/h,1019 mbar,0.3,,,,,
Nhiều mây,7°C,86%,6.4 km/h,1015 mbar,2.1,,,,,
Nhiều mây,9°C,87%,0 km/h,1017 mbar,5.7,,,,,
Nhiều mây,9°C,81%,17.7 km/h,1011 mbar,0.7,,,,,
Ít mây,4°C,39%,3.2 km/h,1015 mbar,5,,,,,
Ít mây,18°C,54%,13 km/h,1026 mbar,,,54,,,
Nhiều mây,-5°C,71%,29 km/h,1029 mbar,0.3,,,,,
Nhiều mây,-3°C,89%,9.6 km/h,1024 mbar,3.4,,,,,
Ít mây,9°C,66%,3.9 km/h,1011 mbar,3,3.4,,,,
Trời quang,-6°C,68%,0 km/h,1028 mbar,2.7,5,,,,
Mưa,3°C,92%,16.7 km/h,994 mbar,0.1,,,,,
Mưa,4°C,87%,9.1 km/h,1007 mbar,0.8,,,,,
Mưa,4°C,96%,5.5 km/h,994 mbar,0.2,,,,,
Mưa,3°C,91%,18.5 km/h,993 mbar,0.4,,,,,
Nhiều mây,-3°C,83%,13 km/h,1025 mbar,4.1,,,,,
Trời quang,28°C,70%,24.1 km/h,1007 mbar,3.3,8.7,,3.8,,
Nhiều mây,-16°C,96%,8.9 km/h,1012 mbar,2.1,3,4.6,4.3,0.7,
Mưa,3°C,97%,9.6 km/h,992 mbar,0.4,,,,,
Trời quang,-8°C,66%,9.4 km/h,1035 mbar,2.5,,,,,
Nhiều mây,1°C,90%,10.4 km/h,1006 mbar,0.1,,,,,
Trời quang,12°C,68%,1.8 km/h,1016 mbar,8,11,,9.4,5.2,
Trời quang,-4°C,68%,3.7 km/h,1011 mbar,1.4,1.8,,,,
Nhiều mây,10°C,97%,3.2 km/h,1007 mbar,4.1*,,,,,
Nhiều mây,-2°C,95%,4.2 km/h,1007 mbar,7.1*,,,,,
Nhiều mây,10°C,94%,14.8 km/h,1019 mbar,0.3,,,,,
Nhiều mây,4°C,87%,7.7 km/h,1005 mbar,10.6,,,,,
Nhiều mây,0°C,99%,3.2 km/h,1009 mbar,24.4,28,,,,
Ít mây,-17°C,92%,6.4 km/h,1020 mbar,10,16,61,8,4,
Nhiều mây,7°C,100%,11.1 km/h,1001 mbar,5.1*,,,40.4*,6.5*,
Mưa,22°C,53%,17.7 km/h,1016 mbar,20.8,,,,,
Tuyết,1°C,71%,1.5 km/h,1019 mbar,24,42,,,,
Nhiều mây,6°C,60%,16.1 km/h,1008 mbar,7.6,,,,,
Mưa,25°C,87%,8.1 km/h,1007 mbar,3.1*,,,,,
Nhiều mây,7°C,84%,16.7 km/h,1016 mbar,14.6,,,,,
Ít mây,9°C,72%,2.7 km/h,1020 mbar,15.1*,,,,,
Nhiều mây,11°C,87%,7.4 km/h,1020 mbar,34.3,,,,,
Nhiều mây,10°C,80%,16.7 km/h,1014 mbar,28.2,,,,,
Nhiều mây,10°C,71%,14.4 km/h,1016 mbar,36.8,,,,,
Mây rải rác,9°C,78%,9.3 km/h,1020 mbar,33.5,,,,,
Nhiều mây,-2°C,94%,13 km/h,1008 mbar,16.4,,,,,
Mây rải rác,0°C,83%,6.4 km/h,1025 mbar,18.1,,,,,
Mưa,1°C,85%,9.6 km/h,1022 mbar,9.5,,,,,
Tuyết,-3°C,95%,3.5 km/h,1010 mbar,5.1,,,,,
Tuyết,0°C,84%,12.9 km/h,1004 mbar,3.6,,,,,
Sương mù,-1°C,92%,9.3 km/h,1009 mbar,29.6,37,,,,
Nhiều mây,21°C,71%,12.2 km/h,1012 mbar,15,23.5,93.5,8.5,3.5,500
Sương mù,0°C,93%,7.4 km/h,1010 mbar,24.1*,,,,,
Nhiều mây,4°C,95%,8.1 km/h,1004 mbar,9.1,5.3,,,3.6,
Nhiều mây,4°C,91%,13.5 km/h,1003 mbar,9.9,18.9,8.8,,3.2,
Nhiều mây,11°C,94%,10.3 km/h,1009 mbar,8,,,,,
Trời quang,11°C,64%,4.3 km/h,1018 mbar,28,,,,,
Nhiều mây,0°C,93%,6.4 km/h,1007 mbar,14.5,23.3,,,,
Nhiều mây,7°C,97%,9.9 km/h,991 mbar,10.1*,,,,,
Mưa,4°C,70%,5.3 km/h,1019 mbar,18.1*,,,,,
Mưa,9°C,44%,12.1 km/h,1017 mbar,20.1*,,,,,
Trời quang,9°C,76%,5.5 km/h,1019 mbar,28.9,,,,,
Trời quang,10°C,82%,14.8 km/h,1016 mbar,34.4,,,,,
Trời quang,9°C,73%,6.4 km/h,1020 mbar,,,2,56.4,,0
Trời quang,-1°C,60%,14.8 km/h,1018 mbar,3.1*,,,,,
Sương mù,2°C,90%,11.1 km/h,1024 mbar,19.1*,,,,,
Trời quang,0°C,82%,5.5 km/h,1025 mbar,3.2,,,,,
Nhiều mây,8°C,76%,9.3 km/h,1025 mbar,11.2,,,,,
Mưa,1°C,81%,9.6 km/h,1022 mbar,8.4,,,,,
Trời quang,-2°C,71%,4.4 km/h,1028 mbar,29.8,,,,,
Trời quang,-3°C,87%,7.4 km/h,1027 mbar,14,,,,,
Mưa,2°C,75%,9.6 km/h,1035 mbar,10.7,,,,,
Nhiều mây,-1°C,72%,25.9 km/h,1017 mbar,6.2,,,,,
Nhiều mây,-9°C,100%,8.4 km/h,1016 mbar,3,,,,,
Trời quang,13°C,77%,7.6 km/h,1015 mbar,5,21,2,11,,
Sương mù,0°C,97%,3.2 km/h,1005 mbar,33,30.4,4.6,,5.7,
Nhiều mây,-1°C,88%,7.4 km/h,1009 mbar,39.4,,,,,
Nhiều mây,17°C,81%,9.8 km/h,1002 mbar,6.1*,,,,,
Trời quang,10°C,50%,6.2 km/h,1016 mbar,10.5,12,,16.9,,343.5
Nhiều mây,11°C,71%,14.5 km/h,1007 mbar,20,32.1,,,,
Mưa,28°C,74%,9.3 km/h,1006 mbar,13.1,,,,,
Ít mây,2°C,87%,16.7 km/h,1002 mbar,42,,,,,
Mưa,2°C,84%,2.2 km/h,1019 mbar,47,61,42,,,
Nhiều mây,13°C,86%,8.1 km/h,1010 mbar,7.8,,71,3,8,0.5
Nhiều mây,4°C,84%,11.3 km/h,1014 mbar,17.9,,,,,
Trời quang,7°C,79%,0 km/h,1019 mbar,25.7,,,,,
Mưa,4°C,93%,14.2 km/h,1016 mbar,1.9,,,,,
Nhiều mây,10°C,77%,8.1 km/h,1018 mbar,23,,,,,
Trời quang,8°C,78%,7.4 km/h,1020 mbar,28.4,,,,,
Nhiều mây,10°C,81%,9.3 km/h,1017 mbar,23.1*,,,,,
Nhiều mây,10°C,95%,8.4 km/h,1021 mbar,5,,,,,
Nhiều mây,11°C,96%,13 km/h,1022 mbar,8.6,,,,,
Sương mù,1°C,96%,13 km/h,1022 mbar,9.1*,,,,,
Trời quang,-4°C,54%,27.8 km/h,1030 mbar,3.6,,,,,
Nhiều mây,3°C,86%,18.5 km/h,1022 mbar,5.1,,,,,
Trời quang,-2°C,65%,9.3 km/h,1026 mbar,6.4,,,,,
Tuyết,1°C,74%,1.6 km/h,1021 mbar,8.1*,,,,,
Trời quang,19°C,91%,1.8 km/h,1012 mbar,19,10,8,42,11,
Ít mây,8°C,94%,0.2 km/h,1016 mbar,25.3,,,,,
Nhiều mây,1°C,93%,7.4 km/h,1010 mbar,16.6,22.5,34.2,24.5,,
Trời quang,6°C,90%,14.8 km/h,1000 mbar,26.8,,,,,
Nhiều mây,16°C,96%,8.1 km/h,1010 mbar,11.1*,,,,,
Mưa,27°C,85%,3.8 km/h,1004 mbar,8.1*,,,,,
Nhiều mây,-1°C,93%,11.7 km/h,1010 mbar,18.9,,,,,
Tuyết,1°C,75%,1.9 km/h,1019 mbar,34,50,,,2.6,
Nhiều mây,19°C,83%,53.6 km/h,1011 mbar,16,38,,7.5,1.3,
Mưa,25°C,88%,17.8 km/h,1007 mbar,4.1*,,,,,
Nhiều mây,10°C,85%,24.1 km/h,1014 mbar,29.3,,,,,
Trời quang,7°C,67%,0 km/h,1020 mbar,19.6,,,,,
Nhiều mây,10°C,81%,14.8 km/h,1015 mbar,35.1,,,,,
Nhiều mây,10°C,80%,14.8 km/h,1015 mbar,33.4,,,,,
Trời quang,10°C,80%,5.5 km/h,1021 mbar,19.8,,,,,
Nhiều mây,6°C,77%,8.1 km/h,1017 mbar,16.9,,,,,
Nhiều mây,8°C,86%,14.8 km/h,1015 mbar,31.7,,,,,
Nhiều mây,0°C,80%,9.7 km/h,1021 mbar,6.1,,,,,
Sương mù,2°C,91%,0 km/h,1022 mbar,34.5,,,,,
Sương mù,0°C,94%,11.1 km/h,1020 mbar,38,,,,,
Tuyết,1°C,85%,14.8 km/h,1002 mbar,16.2,,,,,
Ít mây,-8°C,93%,5.5 km/h,1010 mbar,2.8,,,,,
Trời quang,-2°C,82%,11.1 km/h,1027 mbar,29.4,,,,,
Mưa,1°C,87%,9.6 km/h,1022 mbar,7.6,,,,,
Mây rải rác,-1°C,86%,7.4 km/h,1024 mbar,12.1*,,,,,
Nhiều mây,11°C,96%,5.5 km/h,1021 mbar,5.1*,,,,,
Sương mù,17°C,91%,13 km/h,1016 mbar,28.2*,,,,,
Nhiều mây,22°C,79%,22.8 km/h,1008 mbar,9.1*,,,,,
Nhiều mây,14°C,90%,3.5 km/h,1013 mbar,10.5,,,,,
Trời quang,-14°C,72%,21.6 km/h,1035 mbar,19.2,23,,12.4,11.1,391.9
Mưa,27°C,89%,15.3 km/h,1005 mbar,6,,,,,
Nhiều mây,11°C,62%,12.3 km/h,1018 mbar,27,44,72,29.1,6.6,572.5
Nhiều mây,7°C,52%,13.9 km/h,1019 mbar,19.1*,,,,,
Nhiều mây,9°C,44%,13.7 km/h,1018 mbar,18.1*,,,,,
Nhiều mây,7°C,65%,27.8 km/h,1019 mbar,15.1*,,,,,
Tuyết,-1°C,53%,5.2 km/h,1006 mbar,7.3,,,,,
Nhiều mây,14°C,91%,29.4 km/h,1012 mbar,18.1,63,1.1,9.2,,
Nhiều mây,8°C,87%,25.9 km/h,1013 mbar,30.4,,,,,
Nhiều mây,10°C,79%,22.2 km/h,1016 mbar,36,,,,,
Mây rải rác,9°C,75%,9.3 km/h,1019 mbar,24.4,,,,,
Sương mù,2°C,91%,9.3 km/h,1024 mbar,20.1*,,,,,
Nhiều mây,3°C,88%,9.3 km/h,1022 mbar,21.8,,,,,
Nhiều mây,2°C,75%,7.4 km/h,1023 mbar,10.1*,,,,,
Ít mây,21°C,93%,14.8 km/h,1014 mbar,6.1,,,,,
Tuyết,-7°C,93%,0 km/h,1005 mbar,8.2,,,,,
Nhiều mây,-6°C,83%,13.7 km/h,1013 mbar,0.2,,,,,
Tuyết,-1°C,89%,7.3 km/h,1008 mbar,47.6,,,,,
Mây rải rác,28°C,78%,13 km/h,1005 mbar,8,8.3,,,,
Mây rải rác,17°C,70%,16.1 km/h,1002 mbar,8.1*,,,,,
Trời quang,10°C,51%,7.1 km/h,1016 mbar,23,,,,,
Nhiều mây,11°C,95%,8.9 km/h,1008 mbar,3.5,,,,,
Nhiều mây,27°C,76%,6.7 km/h,1006 mbar,11.5,,,,,
Ít mây,-21°C,98%,4.9 km/h,1026 mbar,2.1*,,,,,
Nhiều mây,9°C,52%,4.7 km/h,1016 mbar,7,9,,7.5,5.2,
Mưa,11°C,40%,10.2 km/h,1017 mbar,23.1*,,,,,
Mưa rào,19°C,87%,11.1 km/h,1015 mbar,9.1,,,,,
Nhiều mây,20°C,86%,26 km/h,1012 mbar,9,32,,5.6,2.4,
Nhiều mây,16°C,94%,9.6 km/h,1019 mbar,27,,,,,
Trời quang,8°C,86%,7.4 km/h,1021 mbar,19,,,,,
Mây rải rác,10°C,82%,9.3 km/h,1020 mbar,38.8,,,,,
Nhiều mây,9°C,87%,3.2 km/h,1014 mbar,32.6,,,,,
Trời quang,7°C,76%,5.5 km/h,1018 mbar,23.7,,,,,
Nhiều mây,-2°C,93%,13 km/h,1009 mbar,9.1*,,,,,
Nhiều mây,1°C,60%,18.5 km/h,1011 mbar,18.7,51,46,,,
Nhiều mây,8°C,81%,3.2 km/h,1022 mbar,6.1*,,,,,
Tuyết,0°C,84%,20.4 km/h,1022 mbar,8.1*,,,,,
Trời quang,-2°C,69%,4.7 km/h,1028 mbar,17.8,,,,,
Mưa,0°C,85%,9.3 km/h,1022 mbar,11.8,,,,,
Nhiều mây,1°C,84%,14.8 km/h,1025 mbar,11.1*,,,,,
Nhiều mây,18°C,77%,1.7 km/h,1015 mbar,6.5,13,59,5,3,400
Nhiều mây,0°C,84%,3.1 km/h,1007 mbar,19,36,,,,
Nhiều mây,0°C,85%,1.8 km/h,1007 mbar,15,32,,,4.5,
Mây rải rác,0°C,94%,4.3 km/h,1012 mbar,18.1*,,,,,
Nhiều mây,-3°C,93%,3.7 km/h,1010 mbar,64.7,,,,,
Sương mù,0°C,87%,11.1 km/h,1009 mbar,52,,,,,
Tuyết,0°C,99%,5.2 km/h,1008 mbar,38,,,,,
Nhiều mây,0°C,85%,8.6 km/h,1010 mbar,14.8,15.4,,,,
Nhiều mây,-1°C,84%,6.4 km/h,1010 mbar,13.8,15.4,,,3.1,
Nhiều mây,3°C,82%,17.5 km/h,1004 mbar,7.1*,,,,,
Nhiều mây,10°C,48%,3.9 km/h,1016 mbar,32.2*,,,,,
Nhiều mây,2°C,97%,10.1 km/h,1006 mbar,30.3,,,,,
Mây rải rác,9°C,77%,9.3 km/h,1020 mbar,30.9,,,,,
Ít mây,9°C,72%,3.1 km/h,1020 mbar,15.1*,,,,,
Nhiều mây,11°C,88%,7.4 km/h,1020 mbar,36.9,,,,,
Nhiều mây,7°C,79%,9.3 km/h,1019 mbar,15.1,,,,,
Nhiều mây,11°C,87%,7.4 km/h,1020 mbar,24.6,,,,,
Mây rải rác,10°C,78%,5.5 km/h,1020 mbar,36.7,,,,,
Mây rải rác,10°C,78%,5.5 km/h,1020 mbar,36.7,,,,,
Trời quang,8°C,89%,7.4 km/h,1021 mbar,3,,,,,
Nhiều mây,2°C,90%,9.9 km/h,1020 mbar,5.5,,,,,
Sương mù,10°C,98%,7.4 km/h,1022 mbar,3.6,,,,,
Sương mù,2°C,90%,11.1 km/h,1024 mbar,29.9,,,,,
Nhiều mây,2°C,93%,11.1 km/h,1024 mbar,0.9,,,,,
Sương mù,2°C,90%,11.1 km/h,1023 mbar,32.5,,,,,
Nhiều mây,-7°C,93%,9.2 km/h,1020 mbar,0.1,,,,,
Mây rải rác,-12°C,88%,8.1 km/h,1024 mbar,0.6,,,,,
Nhiều mây,8°C,95%,7.4 km/h,1023 mbar,9.1*,,,,,
Nhiều mây,0°C,78%,6.4 km/h,1023 mbar,8.2,,,,,
Sương mù,7°C,92%,9.3 km/h,1017 mbar,9.1*,,,,,
Mưa,4°C,95%,8.3 km/h,1004 mbar,0.3,,,,,
Mưa,1°C,86%,9.6 km/h,1023 mbar,10,,,,,
Nhiều mây,0°C,84%,12.9 km/h,1004 mbar,4.4,,,,,
Sương mù,0°C,97%,9.3 km/h,1024 mbar,22.1*,,,,,
Nhiều mây,2°C,91%,1.8 km/h,1002 mbar,16,19,,,,
Nhiều mây,0°C,95%,4.8 km/h,1009 mbar,29,30,,,,
Nhiều mây,22°C,97%,3.7 km/h,1008 mbar,8.1*,,,,,
Trời quang,19°C,89%,4.1 km/h,1010 mbar,13,25,,18,,
Nhiều mây,20°C,66%,20.6 km/h,1013 mbar,21,29,109,7,5,800
Nhiều mây,0°C,91%,5.1 km/h,1008 mbar,27,27,,,6.9,
Nhiều mây,-1°C,86%,9.3 km/h,1011 mbar,11,14.2,,,,
Nhiều mây,4°C,91%,17.4 km/h,1003 mbar,12.1*,,,,,
Nhiều mây,17°C,83%,11.1 km/h,1001 mbar,5.1*,,,,,
Nhiều mây,16°C,78%,8.5 km/h,1002 mbar,7.1*,,,,,
Nhiều mây,8°C,86%,4.6 km/h,1001 mbar,16.5,17.9,3.9,41.4,1.8,
Trời quang,12°C,63%,2.8 km/h,1016 mbar,12,4,,18.8,2.6,
Nhiều mây,11°C,96%,12.9 km/h,1009 mbar,1,,,,,
Trời quang,19°C,69%,5.6 km/h,1016 mbar,46.8,,,,,
Trời quang,-9°C,36%,24.6 km/h,1036 mbar,1.1*,,,,,
Nhiều mây,10°C,93%,1.8 km/h,1009 mbar,6.1*,,,,,
Nhiều mây,30°C,54%,8.1 km/h,1007 mbar,9,,,,,
Nhiều mây,10°C,79%,14.8 km/h,1015 mbar,38.3,,,,,
Nhiều mây,10°C,81%,22.2 km/h,1016 mbar,33,,,,,
Nhiều mây,11°C,88%,7.4 km/h,1020 mbar,31.3,,,,,
Sương mù,11°C,89%,14.8 km/h,1020 mbar,4.3,,,,,
Sương mù,10°C,94%,13 km/h,1022 mbar,7.5,,,,,
Mây rải rác,6°C,96%,3.2 km/h,1020 mbar,20.4,,,,,
Nhiều mây,0°C,85%,13 km/h,1021 mbar,18.6,,,,,
